Name,Neighborhood,Street No,Street Name,City,State,PostalCode,Phone,Theme,Qualifier,Vendor
9:30 Club,,815,V Street NW,Washington,DC,20001,(202) 265-0930,Concerts,Venue,
Black Cat,,1811,1 14th Street NW,Washington,DC,20009,(202) 667-7960,Concerts,Venue,
DAR Constitution Hall,,1776,D Street NW,Washington,DC,20006,(202) 628-4780,Concerts,Venue,
Warner Theatre,,1299,Pennsylvania Avenu,Washington,DC,20004,(202) 783-4000,Concerts,Venue,
Verizon Center,,601,F Street NW,Washington,DC,20004,(202) 628-3200,Concerts,Venue,
Echostage,,2135,Queens Chapel Road,Washington,DC,20586,(202) 503-2330,Concerts,Venue,
The Fillmore Silver Spring,,8656,Colesville Rd,Silver Spring,MD,20910,(301) 960-9999,Concerts,Venue,
iffy Lube Live,,7800,Cellar Door Drive,Bristow,VA,20136,(703) 754-6400,Concerts,Venue,
The Birchmere,,3701,1 Mount Vernon Avenu,Alexandria,VA,22305,(703) 549-7500,Concerts,Venue,
Eighteenth Street Lounge,,1212,"2 18th Street, NW",Washington,DC,20036,(202) 466-3922,Concerts,Venue,
U Street Music Hall,,1115,"5A U Street, NW",Washington,DC,20009,(202) 588-1880,Concerts,Venue,
The Kennedy Center,,2700,0 F Street NW,Washington,DC,20566,(202) 416-8000,Concerts,Venue,
Wolf Trap,,1551,Trap Rd.,Vienna,VA,22182,(703) 255-1900,Concerts,Venue,
Merriweather Post Pavilion,,1047,Little Patuxent Park,Columbia,MD,21044,(410) 715-5550,Concerts,Venue,
The Howard Theater,,620,T Street NW,Washington,DC,20001,(202) 803 2899,Concerts,Venue,
The George Washington University Lisner Auditorium,,730,"21st Street, NW",Washington,DC,20052,(202) 994-6800,Concerts,Venue,
Bohemian Caverns,,2001,"1 11th St., NW",Washington,DC,20009,202-299-0800,Concerts,Venue,
Red Palace,,1212,"2 H St., NE",Washington,DC,,202-399-3201,Concerts,Venue,
Rock & Roll Hotel,,1353,"3 H St., NE",Washington,DC,20002,202-388-7625,Concerts,Venue,
The Hamilton,,600,"14th St., NW",Washington,DC,20005,202-787-1000,Concerts,Venue,
Blues Alley,,1073,3 Rear Wisconsin Ave,Washington,DC,20007,202-337-4141,Concerts,Venue,
DC9,,1940,"0 9th Street, NW",Washington,DC,20001,(202) 483-5000,Concerts,Venue,
Lincoln Theatre,,215,U St NW,Washington,DC,20009,(202) 328-6000,Concerts,Venue,
